id,start,end,method,host,path,url,statusCode,contentType,requestBytes,responseBytes
001,2026-07-31T18:57:31.818188+09:00,2026-07-31T18:57:32.3803591+09:00,GET,api.getfiddler.com,/fc/latest,https://api.getfiddler.com/fc/latest?ver=5.0.20262.6151&tele=true&meta=true,200,text/plain,460,5245
002,2026-07-31T18:57:36.1870225+09:00,2026-07-31T18:57:36.2102377+09:00,CONNECT,,443,sugangh.seowon.ac.kr:443,200,,6811,854
003,2026-07-31T18:57:36.1906686+09:00,2026-07-31T18:57:36.2102377+09:00,CONNECT,,443,sugangh.seowon.ac.kr:443,200,,6619,854
004,2026-07-31T18:57:36.3328944+09:00,2026-07-31T18:57:36.3514247+09:00,GET,sugangh.seowon.ac.kr,/nx/,https://sugangh.seowon.ac.kr/nx/,304,,881,150
005,2026-07-31T18:57:36.3564378+09:00,2026-07-31T18:57:36.3725251+09:00,GET,sugangh.seowon.ac.kr,/nx/nexacro17lib/component/CompBase/CompEventBase.js,https://sugangh.seowon.ac.kr/nx/nexacro17lib/component/CompBase/CompEventBase.js,206,application/javascript,693,320
006,2026-07-31T18:57:36.3725251+09:00,2026-07-31T18:57:36.5514486+09:00,GET,sugangh.seowon.ac.kr,/nx/nexacro17lib/component/CompBase/CompEventBase.js,https://sugangh.seowon.ac.kr/nx/nexacro17lib/component/CompBase/CompEventBase.js,206,application/javascript,694,162416
007,2026-07-31T18:57:36.5802548+09:00,2026-07-31T18:57:36.6403444+09:00,GET,sugangh.seowon.ac.kr,/nx/_resource_/_theme_/edu/theme_chrome.css,https://sugangh.seowon.ac.kr/nx/_resource_/_theme_/edu/theme_chrome.css,200,text/css,727,145367
008,2026-07-31T18:57:36.5802548+09:00,2026-07-31T18:57:36.9591754+09:00,GET,sugangh.seowon.ac.kr,/nx/_resource_/_theme_/edu/theme.map.js,https://sugangh.seowon.ac.kr/nx/_resource_/_theme_/edu/theme.map.js,200,application/javascript,642,423582
009,2026-07-31T18:57:36.5802548+09:00,2026-07-31T18:57:36.5934368+09:00,CONNECT,,443,sugangh.seowon.ac.kr:443,200,,6523,854
010,2026-07-31T18:57:36.5802548+09:00,2026-07-31T18:57:36.5934368+09:00,CONNECT,,443,sugangh.seowon.ac.kr:443,200,,6811,854
011,2026-07-31T18:57:36.5812567+09:00,2026-07-31T18:57:36.5954426+09:00,CONNECT,,443,sugangh.seowon.ac.kr:443,200,,6714,854
012,2026-07-31T18:57:36.6147803+09:00,2026-07-31T18:57:36.6318032+09:00,GET,sugangh.seowon.ac.kr,/nx/_resource_/_initvalue_/kmu.xiv.js,https://sugangh.seowon.ac.kr/nx/_resource_/_initvalue_/kmu.xiv.js,200,application/javascript,640,1824
013,2026-07-31T18:57:36.6147803+09:00,2026-07-31T18:57:36.6683577+09:00,GET,sugangh.seowon.ac.kr,/nx/portal.xadl.js,https://sugangh.seowon.ac.kr/nx/portal.xadl.js,200,application/javascript,621,19120
014,2026-07-31T18:57:36.6147803+09:00,2026-07-31T18:57:36.6338058+09:00,GET,sugangh.seowon.ac.kr,/nx/_resource_/_theme_/edu/images/favicon.jpg,https://sugangh.seowon.ac.kr/nx/_resource_/_theme_/edu/images/favicon.jpg,200,image/jpeg,773,1751
